epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,320.149,0.70214,0.56885,0.01053,0.85899,0.88362,0.90861,0.75242,0.80474,0.57301,0.0202,0.000742625,0.000742625,0.000742625
43,327.375,0.71053,0.60143,0.0104,0.9257,0.84232,0.92478,0.75644,0.82822,0.51147,0.0202,0.00073025,0.00073025,0.00073025
44,334.864,0.70902,0.56483,0.01047,0.90022,0.89791,0.94141,0.77699,0.81553,0.47183,0.02013,0.000717875,0.000717875,0.000717875
45,342.353,0.73496,0.5842,0.01072,0.92559,0.86554,0.93306,0.76025,0.82902,0.52365,0.02069,0.0007055,0.0007055,0.0007055
46,349.692,0.69581,0.54204,0.00989,0.90236,0.88076,0.94211,0.77384,0.80412,0.49852,0.02039,0.000693125,0.000693125,0.000693125
47,356.906,0.69527,0.54133,0.01019,0.88785,0.86582,0.92295,0.75566,0.75428,0.56853,0.01808,0.00068075,0.00068075,0.00068075
48,364.068,0.69126,0.55363,0.01002,0.91022,0.90606,0.93232,0.77194,0.77682,0.49984,0.01899,0.000668375,0.000668375,0.000668375
49,371.723,0.6982,0.56661,0.01026,0.92963,0.87738,0.93481,0.76217,0.85692,0.51278,0.02258,0.000656,0.000656,0.000656
50,379.167,0.68747,0.55029,0.00994,0.88006,0.88748,0.93425,0.76494,0.81045,0.50699,0.02004,0.000643625,0.000643625,0.000643625
51,386.547,0.68116,0.51575,0.01008,0.89349,0.89593,0.94177,0.77803,0.79286,0.48581,0.01938,0.00063125,0.00063125,0.00063125
52,393.916,0.68923,0.51345,0.00985,0.92588,0.87027,0.93925,0.77202,0.8306,0.50405,0.02091,0.000618875,0.000618875,0.000618875
53,401.227,0.67073,0.52367,0.00992,0.89446,0.88664,0.93647,0.77045,0.79146,0.63889,0.01955,0.0006065,0.0006065,0.0006065
54,408.75,0.66359,0.52297,0.00987,0.90829,0.88812,0.93402,0.76851,0.80317,0.53475,0.02025,0.000594125,0.000594125,0.000594125
55,416.064,0.66092,0.51876,0.00955,0.90986,0.8936,0.93221,0.7636,0.79564,0.50934,0.0199,0.00058175,0.00058175,0.00058175
56,423.387,0.65024,0.49453,0.00959,0.90684,0.87268,0.93014,0.7737,0.78453,0.50344,0.01939,0.000569375,0.000569375,0.000569375
57,430.717,0.64425,0.49491,0.00945,0.89661,0.89593,0.92866,0.77025,0.79923,0.62416,0.01988,0.000557,0.000557,0.000557
58,437.954,0.6539,0.51344,0.00935,0.90268,0.89375,0.94896,0.79518,0.74547,0.48447,0.01797,0.000544625,0.000544625,0.000544625
59,445.581,0.64119,0.48471,0.00913,0.94072,0.8928,0.94718,0.79056,0.76783,0.44521,0.01899,0.00053225,0.00053225,0.00053225
60,453.087,0.62916,0.48807,0.0091,0.94651,0.84519,0.93044,0.77739,0.78413,0.48478,0.01889,0.000519875,0.000519875,0.000519875
61,460.813,0.63218,0.46641,0.00922,0.92328,0.87463,0.9344,0.76713,0.79498,0.51427,0.01965,0.0005075,0.0005075,0.0005075
62,468.213,0.62489,0.48368,0.00904,0.95806,0.87025,0.94097,0.7911,0.77006,0.48317,0.01864,0.000495125,0.000495125,0.000495125
63,475.693,0.62614,0.4684,0.00886,0.90926,0.90332,0.94316,0.79412,0.77191,0.50229,0.01886,0.00048275,0.00048275,0.00048275
64,483.012,0.62028,0.45833,0.00892,0.92872,0.8731,0.94005,0.78729,0.76873,0.50789,0.01897,0.000470375,0.000470375,0.000470375
