epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1101.83,0.20718,0.40704,0.21399,0.93514,0.8933,0.92838,0.78234,0.23503,0.4377,0.37473,0.000742625,0.000742625,0.000742625
43,1127.45,0.20274,0.39671,0.20519,0.91964,0.89905,0.93095,0.78231,0.23763,0.41001,0.35682,0.00073025,0.00073025,0.00073025
44,1152.73,0.20571,0.40148,0.21186,0.90302,0.86042,0.90501,0.76942,0.24289,0.47964,0.38045,0.000717875,0.000717875,0.000717875
45,1178.07,0.20958,0.41227,0.20103,0.93136,0.87976,0.92909,0.78962,0.20302,0.44575,0.30341,0.0007055,0.0007055,0.0007055
46,1203.3,0.19754,0.38708,0.1924,0.93884,0.89377,0.92421,0.7925,0.20027,0.44286,0.28763,0.000693125,0.000693125,0.000693125
47,1228.56,0.1994,0.37197,0.20481,0.93681,0.8398,0.90832,0.77789,0.21695,0.46561,0.32713,0.00068075,0.00068075,0.00068075
48,1253.79,0.19929,0.37671,0.19943,0.92444,0.90601,0.93434,0.79879,0.22565,0.41108,0.3636,0.000668375,0.000668375,0.000668375
49,1279.3,0.19858,0.37162,0.19842,0.93276,0.8734,0.93188,0.79629,0.21593,0.40063,0.33379,0.000656,0.000656,0.000656
50,1304.58,0.19429,0.36342,0.19722,0.91732,0.88411,0.92205,0.78884,0.21261,0.41895,0.34782,0.000643625,0.000643625,0.000643625
51,1329.91,0.19781,0.36874,0.20135,0.94584,0.91227,0.95237,0.82038,0.20949,0.37083,0.31878,0.00063125,0.00063125,0.00063125
52,1355.39,0.19444,0.34918,0.19918,0.94013,0.91223,0.94041,0.80151,0.22401,0.41713,0.35131,0.000618875,0.000618875,0.000618875
53,1380.69,0.19355,0.3676,0.19952,0.94339,0.89785,0.93893,0.7968,0.20211,0.42588,0.29444,0.0006065,0.0006065,0.0006065
54,1405.91,0.18412,0.36513,0.19204,0.95538,0.90015,0.93571,0.79752,0.21601,0.41697,0.34623,0.000594125,0.000594125,0.000594125
55,1431.14,0.1895,0.35534,0.19026,0.94441,0.91176,0.93968,0.80152,0.19244,0.40874,0.2841,0.00058175,0.00058175,0.00058175
56,1456.4,0.18393,0.35786,0.18817,0.92977,0.876,0.91247,0.78964,0.17958,0.42768,0.2523,0.000569375,0.000569375,0.000569375
57,1481.68,0.1875,0.35646,0.19562,0.93128,0.89118,0.93519,0.81287,0.20965,0.41597,0.31978,0.000557,0.000557,0.000557
58,1506.89,0.1852,0.35289,0.1836,0.91495,0.89824,0.92826,0.79171,0.21137,0.41607,0.33651,0.000544625,0.000544625,0.000544625
59,1532.19,0.17994,0.34002,0.17992,0.93623,0.92786,0.94525,0.80812,0.21142,0.41257,0.34224,0.00053225,0.00053225,0.00053225
60,1557.47,0.17518,0.33941,0.17846,0.90805,0.90362,0.92048,0.78898,0.21594,0.47186,0.35305,0.000519875,0.000519875,0.000519875
61,1582.86,0.17371,0.34229,0.17854,0.9335,0.898,0.93978,0.80993,0.20356,0.42214,0.29971,0.0005075,0.0005075,0.0005075
62,1608.09,0.17725,0.3426,0.1805,0.92629,0.88104,0.91613,0.78766,0.19244,0.41849,0.27239,0.000495125,0.000495125,0.000495125
63,1633.36,0.18159,0.3428,0.17524,0.95223,0.90031,0.94096,0.81108,0.20489,0.408,0.32686,0.00048275,0.00048275,0.00048275
64,1658.58,0.17399,0.3368,0.17643,0.94234,0.88563,0.92066,0.78734,0.21836,0.45852,0.3416,0.000470375,0.000470375,0.000470375
65,1683.86,0.18063,0.34703,0.18616,0.92322,0.88836,0.91998,0.79373,0.2087,0.41078,0.32688,0.000458,0.000458,0.000458
66,1709.12,0.18079,0.33479,0.18081,0.95446,0.88242,0.93708,0.80793,0.20252,0.40765,0.31137,0.000445625,0.000445625,0.000445625
67,1734.4,0.17308,0.31488,0.17593,0.93858,0.90935,0.93768,0.8118,0.19126,0.43571,0.29327,0.00043325,0.00043325,0.00043325
68,1759.65,0.17344,0.32666,0.17267,0.93041,0.89688,0.93683,0.80439,0.20855,0.42272,0.32596,0.000420875,0.000420875,0.000420875
69,1784.95,0.17731,0.33091,0.18163,0.9564,0.90123,0.93786,0.81251,0.19896,0.41313,0.30789,0.0004085,0.0004085,0.0004085
70,1810.23,0.17665,0.32161,0.17981,0.95982,0.88575,0.93076,0.79306,0.19178,0.44105,0.29889,0.000396125,0.000396125,0.000396125
71,1835.6,0.16557,0.32018,0.1711,0.94356,0.9114,0.9466,0.81449,0.20572,0.39323,0.33698,0.00038375,0.00038375,0.00038375
72,1860.82,0.16496,0.31574,0.16922,0.94723,0.90251,0.93353,0.80248,0.21121,0.39738,0.34123,0.000371375,0.000371375,0.000371375
73,1886.08,0.1655,0.30716,0.16275,0.93349,0.88997,0.91997,0.79597,0.20802,0.40815,0.32343,0.000359,0.000359,0.000359
74,1911.33,0.17131,0.31405,0.17255,0.95007,0.90557,0.93875,0.81218,0.20171,0.38445,0.31134,0.000346625,0.000346625,0.000346625
75,1936.7,0.16889,0.31514,0.16544,0.94635,0.91265,0.94342,0.81208,0.19766,0.39488,0.27934,0.00033425,0.00033425,0.00033425
76,1961.99,0.16293,0.30583,0.16275,0.95147,0.91279,0.93817,0.81431,0.1908,0.40648,0.26943,0.000321875,0.000321875,0.000321875
77,1987.3,0.15755,0.3028,0.15966,0.9393,0.89135,0.92274,0.80387,0.18383,0.38784,0.26101,0.0003095,0.0003095,0.0003095
78,2012.59,0.15204,0.29722,0.15569,0.92664,0.89954,0.92878,0.80701,0.18641,0.37976,0.26059,0.000297125,0.000297125,0.000297125
79,2037.87,0.16233,0.3057,0.16329,0.94318,0.89158,0.92012,0.80058,0.17134,0.37971,0.2476,0.00028475,0.00028475,0.00028475
80,2063.12,0.15881,0.30284,0.15629,0.9481,0.87997,0.91613,0.78967,0.19045,0.40901,0.26919,0.000272375,0.000272375,0.000272375
81,2088.42,0.16068,0.29314,0.16097,0.94908,0.90701,0.93772,0.80682,0.18326,0.39874,0.2585,0.00026,0.00026,0.00026
82,2113.64,0.15746,0.29992,0.16186,0.93585,0.89101,0.91623,0.79416,0.18173,0.44375,0.24472,0.000247625,0.000247625,0.000247625
83,2138.92,0.15313,0.29422,0.15202,0.95085,0.9135,0.94189,0.81704,0.19126,0.38922,0.28941,0.00023525,0.00023525,0.00023525
84,2164.17,0.16148,0.29529,0.17062,0.96133,0.89941,0.93925,0.81483,0.18812,0.38703,0.26647,0.000222875,0.000222875,0.000222875
85,2189.45,0.15277,0.27957,0.1515,0.97519,0.90021,0.94032,0.81404,0.19327,0.39974,0.28335,0.0002105,0.0002105,0.0002105
86,2214.71,0.15762,0.28665,0.16066,0.9439,0.90625,0.93054,0.80368,0.1815,0.39573,0.26498,0.000198125,0.000198125,0.000198125
87,2240.13,0.1528,0.28305,0.15154,0.95473,0.91074,0.94371,0.82639,0.17913,0.39062,0.24941,0.00018575,0.00018575,0.00018575
88,2265.62,0.15219,0.28261,0.15199,0.9543,0.90069,0.93447,0.81438,0.17259,0.38737,0.22876,0.000173375,0.000173375,0.000173375
89,2290.91,0.15604,0.27554,0.15226,0.95596,0.90604,0.94411,0.81618,0.18041,0.37572,0.24721,0.000161,0.000161,0.000161
90,2316.26,0.14968,0.28018,0.15088,0.9635,0.90806,0.94469,0.81854,0.20378,0.41153,0.31082,0.000148625,0.000148625,0.000148625
91,2357.28,0.0803,0.16966,0.08863,0.95872,0.89943,0.93135,0.79937,0.1963,0.41362,0.2906,0.00013625,0.00013625,0.00013625
92,2382.41,0.07721,0.16125,0.08461,0.94735,0.9137,0.93701,0.81818,0.2083,0.38744,0.31191,0.000123875,0.000123875,0.000123875
93,2407.56,0.07493,0.15175,0.08338,0.95765,0.90279,0.93205,0.81612,0.20317,0.4146,0.30764,0.0001115,0.0001115,0.0001115
94,2432.86,0.07399,0.15128,0.08078,0.93669,0.9221,0.93821,0.81974,0.20363,0.39457,0.3072,9.9125e-05,9.9125e-05,9.9125e-05
95,2458.01,0.06959,0.1437,0.07606,0.94692,0.90004,0.93747,0.81907,0.18439,0.42365,0.25575,8.675e-05,8.675e-05,8.675e-05
96,2483.15,0.07108,0.14477,0.07781,0.94448,0.9185,0.94066,0.81916,0.20213,0.39911,0.30205,7.4375e-05,7.4375e-05,7.4375e-05
97,2508.34,0.07097,0.14536,0.07751,0.95101,0.88888,0.93704,0.81822,0.18135,0.38565,0.23998,6.2e-05,6.2e-05,6.2e-05
98,2533.48,0.06978,0.14512,0.07839,0.95175,0.90226,0.94028,0.81931,0.18142,0.3723,0.24103,4.9625e-05,4.9625e-05,4.9625e-05
99,2558.65,0.06891,0.14665,0.07495,0.95401,0.89649,0.94097,0.8198,0.18166,0.37747,0.23934,3.725e-05,3.725e-05,3.725e-05
100,2583.71,0.06641,0.14152,0.07242,0.94675,0.90812,0.94094,0.82092,0.18169,0.38481,0.23977,2.4875e-05,2.4875e-05,2.4875e-05
