epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,731.981,0.74672,0.55949,0.01144,0.94983,0.84322,0.93807,0.75828,0.82945,0.48533,0.02041,0.000742625,0.000742625,0.000742625
43,749.984,0.74326,0.54981,0.01124,0.91017,0.84995,0.93656,0.75648,0.84469,0.52679,0.02064,0.00073025,0.00073025,0.00073025
44,768.004,0.72802,0.51617,0.01109,0.88767,0.90103,0.93317,0.76634,0.81545,0.4906,0.02027,0.000717875,0.000717875,0.000717875
45,785.737,0.75289,0.5471,0.01101,0.86472,0.87879,0.92757,0.76994,0.78614,0.60275,0.01985,0.0007055,0.0007055,0.0007055
46,803.339,0.71693,0.50592,0.01056,0.94935,0.84415,0.9273,0.74289,0.85763,0.54999,0.02149,0.000693125,0.000693125,0.000693125
47,820.82,0.69883,0.49222,0.01055,0.93015,0.8615,0.93012,0.75723,0.83253,0.50078,0.02046,0.00068075,0.00068075,0.00068075
48,838.302,0.70304,0.48988,0.01043,0.92738,0.84418,0.92984,0.76476,0.79508,0.51625,0.02002,0.000668375,0.000668375,0.000668375
49,855.775,0.70334,0.51024,0.01057,0.92314,0.90264,0.94483,0.7954,0.76037,0.47016,0.01845,0.000656,0.000656,0.000656
50,873.442,0.70844,0.50717,0.01065,0.92541,0.8844,0.93218,0.7732,0.81926,0.50577,0.02058,0.000643625,0.000643625,0.000643625
51,890.783,0.675,0.47949,0.01029,0.92059,0.88821,0.94303,0.78423,0.7859,0.47604,0.01929,0.00063125,0.00063125,0.00063125
52,908.801,0.68442,0.4645,0.01,0.97118,0.87191,0.94363,0.77953,0.80272,0.47434,0.01944,0.000618875,0.000618875,0.000618875
53,926.514,0.68027,0.46315,0.01034,0.94424,0.84369,0.93738,0.77727,0.77778,0.5478,0.01863,0.0006065,0.0006065,0.0006065
54,944.614,0.67731,0.46394,0.01039,0.91208,0.90402,0.94372,0.78287,0.78637,0.48251,0.01925,0.000594125,0.000594125,0.000594125
55,962.397,0.65571,0.48605,0.00963,0.94503,0.88331,0.94293,0.78977,0.78488,0.49209,0.01962,0.00058175,0.00058175,0.00058175
56,980.007,0.65887,0.44585,0.00996,0.91882,0.87734,0.94585,0.78852,0.79575,0.48202,0.01998,0.000569375,0.000569375,0.000569375
57,997.662,0.64268,0.43569,0.00965,0.93192,0.89553,0.94433,0.7899,0.78674,0.46394,0.01932,0.000557,0.000557,0.000557
58,1015.02,0.64759,0.45507,0.00936,0.9411,0.90263,0.94277,0.79232,0.77977,0.47135,0.01949,0.000544625,0.000544625,0.000544625
59,1032.19,0.64755,0.42433,0.00952,0.95511,0.8777,0.93913,0.78147,0.80425,0.4774,0.01989,0.00053225,0.00053225,0.00053225
60,1049.39,0.62029,0.42087,0.00912,0.95518,0.88223,0.9408,0.78653,0.82354,0.4854,0.02133,0.000519875,0.000519875,0.000519875
61,1067.75,0.62121,0.39418,0.00929,0.93826,0.8921,0.95074,0.79077,0.80446,0.45296,0.02029,0.0005075,0.0005075,0.0005075
62,1085.46,0.61393,0.40913,0.00917,0.96502,0.89147,0.9458,0.79595,0.77812,0.47629,0.01946,0.000495125,0.000495125,0.000495125
63,1103.31,0.61888,0.39173,0.00897,0.90888,0.91007,0.95141,0.80549,0.74759,0.4677,0.01804,0.00048275,0.00048275,0.00048275
64,1121.32,0.61306,0.40117,0.00925,0.96113,0.89222,0.953,0.80435,0.76233,0.45556,0.01878,0.000470375,0.000470375,0.000470375
65,1140.01,0.60158,0.3958,0.00903,0.95006,0.87445,0.93979,0.79099,0.77481,0.4779,0.01931,0.000458,0.000458,0.000458
