epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,356.115,0.7158,0.54348,0.01095,0.9128,0.88605,0.94154,0.76002,0.85807,0.49216,0.02169,0.000742625,0.000742625,0.000742625
43,364.895,0.72896,0.55377,0.01094,0.90492,0.86726,0.93345,0.76226,0.79421,0.51014,0.01914,0.00073025,0.00073025,0.00073025
44,373.63,0.71489,0.54036,0.01089,0.88631,0.89338,0.93581,0.76013,0.82686,0.51825,0.02065,0.000717875,0.000717875,0.000717875
45,382.265,0.74577,0.57067,0.0111,0.91227,0.88979,0.94631,0.77,0.86274,0.46524,0.02197,0.0007055,0.0007055,0.0007055
46,390.737,0.69991,0.50559,0.01019,0.93548,0.83725,0.93116,0.76111,0.79433,0.53026,0.01933,0.000693125,0.000693125,0.000693125
47,399.141,0.69142,0.5003,0.01046,0.91148,0.86096,0.93064,0.77191,0.78706,0.55811,0.01992,0.00068075,0.00068075,0.00068075
48,407.581,0.70086,0.50725,0.01054,0.9355,0.89094,0.95577,0.79022,0.8208,0.42365,0.02092,0.000668375,0.000668375,0.000668375
49,416.18,0.68356,0.50192,0.01017,0.92321,0.90143,0.94694,0.79316,0.76025,0.46953,0.01851,0.000656,0.000656,0.000656
50,424.74,0.70865,0.5128,0.01049,0.94963,0.8639,0.94727,0.77735,0.79111,0.45209,0.01961,0.000643625,0.000643625,0.000643625
51,433.138,0.68177,0.48825,0.01037,0.89883,0.88742,0.94078,0.77536,0.8077,0.47686,0.02019,0.00063125,0.00063125,0.00063125
52,441.541,0.67051,0.47307,0.00979,0.94801,0.8708,0.93626,0.77583,0.79397,0.50125,0.02026,0.000618875,0.000618875,0.000618875
53,449.997,0.67783,0.4781,0.01021,0.94627,0.86241,0.9413,0.781,0.77229,0.49438,0.01934,0.0006065,0.0006065,0.0006065
54,458.415,0.66102,0.48563,0.00998,0.93602,0.85579,0.92784,0.77531,0.75478,0.52495,0.01827,0.000594125,0.000594125,0.000594125
